id,value
Бенефіціар
Бенефіціар.Рінат Ахметов,
Бенефіціар.Рінат Ахметов.ДТЕК Київські електромережі,100
Бенефіціар.Рінат Ахметов.ДТЕК Київські регіональні електромережі,100
Бенефіціар.Рінат Ахметов.ДТЕК Донецькі електромережі,100
Бенефіціар.Рінат Ахметов.ДТЕК Дніпровські електромережі,77
Бенефіціар.Рінат Ахметов.ДТЕК Одеські електромережі,72
Бенефіціар.Рінат Ахметов.Хмельницькобленерго,7
Бенефіціар.Рінат Ахметов.Кіровоградобленерго,24.5
Бенефіціар.Міністерство енергетики України,
Бенефіціар.Міністерство енергетики України.Хмельницькобленерго,70
Бенефіціар.Міністерство енергетики України.ДТЕК Одеські електромережі,25
Бенефіціар.Міністерство енергетики України.Черкасиобленерго,46
Бенефіціар.Міністерство енергетики України.Миколаївобленерго,70
Бенефіціар.Міністерство енергетики України.Харківобленерго,65
Бенефіціар.Міністерство енергетики України.Запоріжжяобленерго,60
Бенефіціар.Міністерство енергетики України.Тернопільобленерго,25
Бенефіціар.Міністерство енергетики України.Сумиобленерго,25
Бенефіціар.VS Energy,
Бенефіціар.VS Energy.Кіровоградобленерго,73
Бенефіціар.VS Energy.Рівнеобленерго,93
Бенефіціар.VS Energy.Житомиробленерго,95
Бенефіціар.VS Energy.Херсонобленерго,100
Бенефіціар.VS Energy.Миколаївобленерго,9
Бенефіціар.VS Energy.Чернівціобленерго,100
Бенефіціар.Ігор Коломойський; Констянтин Григоришин і Геннадій Боголюбов,
Бенефіціар.Ігор Коломойський; Констянтин Григоришин і Геннадій Боголюбов.Тернопільобленерго,40
Бенефіціар.Ігор Коломойський; Констянтин Григоришин і Геннадій Боголюбов.ДТЕК Дніпровські електромережі,16
Бенефіціар.Ігор Коломойський; Констянтин Григоришин і Геннадій Боголюбов.Запоріжжяобленерго,12.3
Бенефіціар.Ігор Коломойський; Констянтин Григоришин і Геннадій Боголюбов.Сумиобленерго,68
Бенефіціар.Ігор Коломойський; Констянтин Григоришин і Геннадій Боголюбов.Чернігівобленерго,83
Бенефіціар.Ігор Коломойський; Констянтин Григоришин і Геннадій Боголюбов.Полтаваобленерго,82
Бенефіціар.Ігор Коломойський,
Бенефіціар.Ігор Коломойський.Львівобленерго,5
Бенефіціар.Констянтин Григоришин,
Бенефіціар.Констянтин Григоришин.Черкасиобленерго,24
Бенефіціар.Констянтин Григоришин.Луганське енергетичне об'єднання,100
Бенефіціар.Констянтин Григоришин.Вінницяобленерго,72
Бенефіціар.Констянтин Григоришин.Чернігівобленерго,9
Бенефіціар.Констянтин Григоришин.Полтаваобленерго,8
Бенефіціар.Констянтин Григоришин.Волиньобленерго,21
Бенефіціар.Оксана Марченко,
Бенефіціар.Оксана Марченко.Запоріжжяобленерго,23.6
Бенефіціар.Оксана Марченко.Прикарпаттяобленерго,63
Бенефіціар.Оксана Марченко.Львівобленерго,62
Бенефіціар.Ігор і Григорій Суркіси,
Бенефіціар.Ігор і Григорій Суркіси.Львівобленерго,30
Бенефіціар.Ігор і Григорій Суркіси.Прикарпаттяобленерго,25
Бенефіціар.Фонд державного майна України,
Бенефіціар.Фонд державного майна України.Черкасиобленерго,25
Бенефіціар.Фонд державного майна України.Тернопільобленерго,26
Бенефіціар.Анатолій Бойко (син Юрія Бойко),
Бенефіціар.Анатолій Бойко (син Юрія Бойко).Волиньобленерго,75
Бенефіціар.Юлія Льовочкіна,
Бенефіціар.Юлія Льовочкіна.Закарпаттяобленерго,100
Бенефіціар.Вадим Новинський,
Бенефіціар.Вадим Новинський.Харківобленерго,30
Бенефіціар.Макар Пасенюк і Костянтин Стеценко,
Бенефіціар.Макар Пасенюк і Костянтин Стеценко.Вінницяобленерго,25